Amp,Ton,Toff,Volt
5,10,30,5
5,10,30,10
5,10,30,15
5,10,30,20
5,10,30,25
5,10,30,30
5,10,30,35
5,10,30,40
5,10,30,45
5,10,30,50
5,10,30,55
5,10,30,60
5,10,30,65
5,10,30,70
5,10,30,75
5,10,30,80
5,10,30,85
5,10,30,90
5,10,40,5
5,10,40,10
5,10,40,15
5,10,40,20
5,10,40,25
5,10,40,30
5,10,40,35
5,10,40,40
5,10,40,45
5,10,40,50
5,10,40,55
5,10,40,60
5,10,40,65
5,10,40,70
5,10,40,75
5,10,40,80
5,10,40,85
5,10,40,90
5,10,50,5
5,10,50,10
5,10,50,15
5,10,50,20
5,10,50,25
5,10,50,30
5,10,50,35
5,10,50,40
5,10,50,45
5,10,50,50
5,10,50,55
5,10,50,60
5,10,50,65
5,10,50,70
5,10,50,75
5,10,50,80
5,10,50,85
5,10,50,90
5,10,60,5
5,10,60,10
5,10,60,15
5,10,60,20
5,10,60,25
5,10,60,30
5,10,60,35
5,10,60,40
5,10,60,45
5,10,60,50
5,10,60,55
5,10,60,60
5,10,60,65
5,10,60,70
5,10,60,75
5,10,60,80
5,10,60,85
5,10,60,90
5,10,70,5
5,10,70,10
5,10,70,15
5,10,70,20
5,10,70,25
5,10,70,30
5,10,70,35
5,10,70,40
5,10,70,45
5,10,70,50
5,10,70,55
5,10,70,60
5,10,70,65
5,10,70,70
5,10,70,75
5,10,70,80
5,10,70,85
5,10,70,90
5,10,80,5
5,10,80,10
5,10,80,15
5,10,80,20
5,10,80,25
5,10,80,30
5,10,80,35
5,10,80,40
5,10,80,45
5,10,80,50
5,10,80,55
5,10,80,60
5,10,80,65
5,10,80,70
5,10,80,75
5,10,80,80
5,10,80,85
5,10,80,90
5,10,90,5
5,10,90,10
5,10,90,15
5,10,90,20
5,10,90,25
5,10,90,30
5,10,90,35
5,10,90,40
5,10,90,45
5,10,90,50
5,10,90,55
5,10,90,60
5,10,90,65
5,10,90,70
5,10,90,75
5,10,90,80
5,10,90,85
5,10,90,90
5,10,100,5
5,10,100,10
5,10,100,15
5,10,100,20
5,10,100,25
5,10,100,30
5,10,100,35
5,10,100,40
5,10,100,45
5,10,100,50
5,10,100,55
5,10,100,60
5,10,100,65
5,10,100,70
5,10,100,75
5,10,100,80
5,10,100,85
5,10,100,90
5,20,30,5
5,20,30,10
5,20,30,15
5,20,30,20
5,20,30,25
5,20,30,30
5,20,30,35
5,20,30,40
5,20,30,45
5,20,30,50
5,20,30,55
5,20,30,60
5,20,30,65
5,20,30,70
5,20,30,75
5,20,30,80
5,20,30,85
5,20,30,90
5,20,40,5
5,20,40,10
5,20,40,15
5,20,40,20
5,20,40,25
5,20,40,30
5,20,40,35
5,20,40,40
5,20,40,45
5,20,40,50
5,20,40,55
5,20,40,60
5,20,40,65
5,20,40,70
5,20,40,75
5,20,40,80
5,20,40,85
5,20,40,90
5,20,50,5
5,20,50,10
5,20,50,15
5,20,50,20
5,20,50,25
5,20,50,30
5,20,50,35
5,20,50,40
5,20,50,45
5,20,50,50
