,Ni%,Cr%,Fe%,Mn%,Cu%,Al%,Si%,C%,S%,Mo%,Ti%,Co%,B%,P%,Nb & Ta%,Ni% + Co%,IP (Amp),Ton (µS),Toff  (µS),Voltage (Volts),Surface Roughness (µm),MRR (mm3/min)
Ni%,1.0,-0.2414494673052111,-0.8154260357974766,0.20447498884649512,0.021584689773461934,0.23078190107859095,0.33916719965479764,0.05200278668931611,0.05696687138214431,-0.07214073964487164,0.06128897715780319,0.23794295750266276,-0.18002500636317736,-0.4512513296038224,-0.3595024777301129,-0.5799108250400724,-0.17578079871377592,0.0658455716115175,0.18412454827357164,-0.17065478404986464,0.14149449285485538,0.2660481218952308
Cr%,-0.2414494673052111,1.0,-0.01496425854558037,-0.19039563364514644,0.05495991629658507,-0.4620557935260564,0.013951873395000605,-0.07940186222763164,0.20179504409532373,0.1483878291232637,-0.5635723993102494,-0.2856570053088838,-0.26643607523638135,-0.032813777998860975,-0.13250123358065605,-0.12045633249765278,0.11711592368315135,-0.10659552866080335,-0.1828872518472634,0.004345669835633057,-0.20068393507829624,-0.24210207111616838
Fe%,-0.8154260357974766,-0.01496425854558037,1.0,0.13494566245996828,0.27307869357055103,-0.06737257188005884,-0.4578614031539911,-0.16961518559260455,-0.028093800776067126,-0.3287833033726841,0.055017420506350764,-0.25434283101482075,0.2681730352486119,0.10456683861976633,0.15020756720473918,0.3071477205910105,0.24405108473616088,-0.06289046297147427,-0.11738358760411458,0.27267599034740747,-0.07788928638340004,-0.1191089870262632
Mn%,0.20447498884649512,-0.19039563364514644,0.13494566245996828,1.0,0.35746004101499407,0.29805477895890586,-0.25861013701499375,-0.23511584655186407,0.2533397996676521,-0.4635016057422763,0.10954036702741206,-0.2813803906951815,-0.6653059192273548,-0.7811209787252784,-0.7756157607773507,-0.08791316257390286,0.07374216678104889,0.09771015603976685,0.19187179399621826,-0.03326218053112866,0.11392759462621593,0.24697669719471665
Cu%,0.021584689773461934,0.05495991629658507,0.27307869357055103,0.35746004101499407,1.0,0.1831646483430938,-0.061639361065524714,-0.34943172642844517,0.37914662285453343,-0.49728424404588845,0.08392786432868313,-0.259914356348103,-0.17355029652391465,-0.4995754028013211,-0.4243296491808725,-0.016032827202635026,-0.1145649124819889,0.2070974765869199,0.07125262881992038,0.14668529499539615,0.09740462602817462,0.07015605467169031
Al%,0.23078190107859095,-0.4620557935260564,-0.06737257188005884,0.29805477895890586,0.1831646483430938,1.0,0.018397071769433074,0.17820654551113674,0.7384428633307278,-0.18903290421547347,0.2782944723643204,0.036525550900860446,0.050855606860541976,-0.09969868185495534,-0.020294252461514867,-0.0388185365581663,-0.1714512778488573,-0.08146127221287817,0.09988819319529875,-0.2379467066599949,0.11786122354916012,0.021459991058974986
Si%,0.33916719965479764,0.013951873395000605,-0.4578614031539911,-0.25861013701499375,-0.061639361065524714,0.018397071769433074,1.0,0.8218027661387765,0.06296582189048586,0.21680775940156088,0.06280304110654461,0.8835192197996482,0.18617131399291156,-0.11703318046687373,-0.15222774505205533,-0.03116794824822058,-0.18446038614381474,-0.010332574424119343,0.029446453435117106,-0.22786396390093885,0.061043120320362014,-0.17321201398289632
C%,0.05200278668931611,-0.07940186222763164,-0.16961518559260455,-0.23511584655186407,-0.34943172642844517,0.17820654551113674,0.8218027661387765,1.0,0.09979970635110763,0.3763783850668101,0.07776712248082646,0.8675929243580938,0.34557285029451634,0.1475834430624756,0.11695849383210079,-0.05995245109028467,-0.06214108651063543,-0.12684344631988337,-0.034581616724801256,-0.23687676629472482,0.0448781653325581,-0.29039635769228395
S%,0.05696687138214431,0.20179504409532373,-0.028093800776067126,0.2533397996676521,0.37914662285453343,0.7384428633307278,0.06296582189048586,0.09979970635110763,1.0,-0.19384202423443736,-0.2264318170036306,-0.12451926088624081,-0.1711421759040353,-0.24519503174363852,-0.26092579031118884,-0.019503598836160558,-0.15075804103820853,-0.1597929409098518,-0.06630766356500124,-0.3036469955643247,-0.07604970685901961,-0.055673279430617784
Mo%,-0.07214073964487164,0.1483878291232637,-0.3287833033726841,-0.4635016057422763,-0.49728424404588845,-0.18903290421547347,0.21680775940156088,0.3763783850668101,-0.19384202423443736,1.0,-0.2256691582533523,0.1747102764820948,0.001745264775301121,0.674830677393046,0.5090020088021338,-0.10869966613619828,-0.1522578026136841,0.11104627349614543,-0.12265355381438732,-0.14867544420476797,0.023675142741288707,-0.18003615205911547
