Estimators,RMSE_SR,RMSE_MRR
1,0.20519826691165205,0.15036048471541788
2,1.199464888167837,30.546261959876833
3,1.8406156648939298,38.40100010627627
4,1.8781148379561603,41.668207150902624
5,1.9128805131564761,47.443956548347956
6,2.0710535483449144,49.360602665055815
7,2.14958110981605,59.081333751190954
8,2.2562242817369973,71.63493473969928
9,2.3276416961795996,79.31466912888895
10,2.353073386273744,86.36978878307026
11,2.387874522953901,95.26683537875053
12,2.428913029590794,103.21093939658356
13,2.4727255581132344,110.85103011726052
14,2.5347097563953582,117.12737590736072
15,2.5878975708512537,122.3494231953849
16,2.62548028141159,127.52895533178325
17,2.6830624990387104,131.8629479044591
18,2.777623202288762,135.21868230094205
19,2.842906860508704,139.00398161796926
20,2.9201878543831574,142.4201241932969
